ID,Sem Conta Corrente,Conta corrente (<0),Conta corrente (<200),Conta corrente (>=200),Duração do empréstimo (meses),Histórico (Pendências em outros bancos),Histórico (Sem pendências neste banco),Histórico (Pendências honradas),Histórico (Pendências atrasadas),Histórico (Sem pendências),Propósito (Carro novo),Propósito (Carro usado),Propósito (Móveis),Propósito (Telefone),Propósito (Eletrodomésticos),Propósito (Reparos),Propósito (Educação),Propósito (Férias),Propósito (Retrainamento),Propósito (Empresarial),Propósito (Outros),Limite de crédito,Poupança (<100),Poupança (<500),Poupança (>1000),Poupança (<=1000),Poupança (Desconhecido/Sem fundos),Tempo no emprego (Desempregado),Tempo no emprego (<1ano),Tempo no emprego (<4anos),Tempo no emprego (<7anos),Tempo no emprego (>=7anos),Taxa de Juros,Gênero (M =1/F=0),Estado Civil (Solteiro),Fiadores (Sem Fiador),Fiadores (Co-requerente),Fiadores,Tempo de Residência (Anos),Propriedade (Imobiliária),Propriedade (Seguro de vida),Propriedade (Carro),Propriedade (Desconhecido/Sem propriedade),Idade,Plano de parcelamento (Bancário),Plano de parcelamento (Lojas),Plano de parcelamento (Sem plano),Moradia (Aluguel),Moradia (Própria),Moradia (Gratuita),Cartões de Crédito,Grau de Qualificação (Desempregado),Grau de Qualificação (Temporário),Grau de Qualificação (Efetivado),Grau de Qualificação (Gestor),Número de dependentes,Trabalhador estrangeiro,class
0,1,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1169,0,0,0,0,1,0,0,0,0,1,4,1,1,1,0,0,4,1,0,0,0,67,0,0,1,0,1,0,2,0,0,1,0,1,1,1
1,0,1,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5951,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,1,0,0,0,22,0,0,1,0,1,0,1,0,0,1,0,1,1,0
2,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2096,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,3,1,0,0,0,49,0,0,1,0,1,0,1,0,1,0,0,2,1,1
3,1,0,0,0,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7882,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,4,0,1,0,0,45,0,0,1,0,0,1,1,0,0,1,0,2,1,1
4,1,0,0,0,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4870,1,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,4,0,0,0,1,53,0,0,1,0,0,1,2,0,0,1,0,2,1,0
5,0,0,0,1,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9055,0,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,4,0,0,0,1,35,0,0,1,0,0,1,1,0,1,0,0,2,1,1
6,0,0,0,1,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2835,0,0,1,0,0,0,0,0,0,1,3,1,1,1,0,0,4,0,1,0,0,53,0,0,1,0,1,0,1,0,0,1,0,1,1,1
7,0,1,0,0,36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6948,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,2,0,0,1,0,35,0,0,1,1,0,0,1,0,0,0,1,1,1,1
8,0,0,0,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3059,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,4,1,0,0,0,61,0,0,1,0,1,0,1,0,1,0,0,1,1,1
9,0,1,0,0,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5234,1,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,2,0,0,1,0,28,0,0,1,0,1,0,2,0,0,0,1,1,1,0
